settlement_id,vendor_name,amount,txn_date,reference_id,description
STL-000028-0,LARSEN & TOUBRO LIMITED,127866.82,2026-02-13,RZP626,Subscription charge RZP626
STL-000029-0,BigBaskte Innovative Retail Concepts,150008.48,2026-01-21,RZP4857331688,Service fee RZP485
STL-000030-0,WIPRO,44095.29,2026-06-28,RZP502,Vendor payout RZP502
STL-000031-0,Ola Cabs Private Limited,106771.18,2026-05-21,RZP4184782742,Vendor payout RZP418
STL-000032-0,Mahindra & Mahindra Ltd,19732.58,2026-03-27,RZP3512670454,Vendor payout RZP351
STL-000032-1,Mahindra & Mahindra Limited,38898.09,2026-03-27,RZP3512670454,Vendor payout RZP351
STL-000033-0,SWIGGY BUNDL TECHNOLOGIES PRIVATE LIMITED,221437.03,2026-05-30,RZP9085492388,Payment for invoice RZP908
STL-000034-0,Urban Company Technologies Pvt Ltd,199997.06,2026-02-28,RZP4243677899,Payment for invoice RZP424
STL-000036-0,PhonePe Private Limited,63180.04,2026-01-21,RZP470,Vendor payout RZP470
STL-000037-0,Wipro Ltd,31686.31,2026-06-21,RZP1942369771,Payment for invoice RZP194
STL-000038-0,RIL,74433.57,2026-05-28,RZP6937066178,Service fee RZP693
STL-000038-1,Reliance Industries Liimted,75316.05,2026-05-29,RZP693,Payment for invoice RZP693
STL-000038-2,RelianceI ndustries Limited,82482.84,2026-05-30,RZP6937066178,Merchant settlement batch RZP693
STL-000039-0,Cred Dreamplug Technologies Private Limited,195668.95,2026-03-30,RZP5606044438,Merchant settlement batch RZP560
STL-000040-0,PhonePe Private Limited,44157.82,2026-05-14,RZP9285447288,Subscription charge RZP928
STL-000041-0,Flipkart Internet Ltd,61058.82,2026-04-30,RZP5634343225,Payment for invoice RZP563
STL-000042-0,Ola Cabs Private Limited,237023.44,2026-01-22,RZP2452474024,Vendor payout RZP245
STL-000044-0,Airtel Ltd,48006.51,2026-05-04,RZP2575982337,Vendor payout RZP257
STL-000045-0,Tata Consultancy Services,137332.09,2026-06-30,,Vendor payout RZP967
STL-000046-0,Infosys Pvt Ltd,100266.63,2026-01-19,RZP5618902545,Merchant settlement batch RZP561
STL-000047-0,ANI Technologies Ola,95187.45,2026-04-28,RZP2545090762,Merchant settlement batch RZP254
STL-000048-0,Bharti Airtel Limited,138065.26,2026-02-10,RZP045,Order settlement RZP045
STL-000049-0,Larsen & Toubro Limited,103857.76,2026-05-20,RZP2121075894,Order settlement RZP212
STL-000051-0,Adani Enterprises Limited,144125.31,2026-02-15,RZP4691564033,Payment for invoice RZP469
STL-000052-0,Bharti Airtel Limited,82551.45,2026-06-27,RZP4647002178,Payment for invoice RZP464
STL-000053-0,URBANCOMPANY,115574.79,2026-01-14,,Vendor payout RZP137
STL-000054-0,MEESHO FASHNEAR TECHNOLOGIES,199858.54,2026-02-10,RZP3042819619,Service fee RZP304
STL-000055-0,Adani Enterprises Ltd,101619.12,2026-05-04,RZP925,Merchant settlement batch RZP925
STL-000057-0,Larsen Toubro Ltd,245192.54,2026-03-03,RZP5270778368,Order settlement RZP527
STL-000058-0,Tata Consultancy Services,31485.23,2026-06-01,RZP3180901890,Service fee RZP318
STL-000060-0,Infosys Ltd,107612.01,2026-01-26,RZP7711203034,Merchant settlement batch RZP771
STL-000062-0,FLIPKART INTERNET PRIVATE LIMITED,225316.98,2026-06-23,RZP5099296439,Payment for invoice RZP509
STL-000063-0,Swiggy Bundl Technologies Private Limited,140716.86,2026-05-29,RZP2608308799,Subscription charge RZP260
STL-000064-0,Mahindra & Mahindra Limited,193968.88,2026-02-28,RZP6366676869,Subscription charge RZP636
STL-000065-0,Flipkart Internet Private Limited,8486.13,2026-04-05,RZP7027115959,Merchant settlement batch RZP702
STL-000066-0,BigBasket Innovative Retail Concepts,241850.91,2026-03-18,RZP7319198799,Order settlement RZP731
STL-000067-0,SWIGGY BUNDL TECHNOLOGIES PRIVATE LIMITED,3621.02,2026-05-18,RZP1372363646,Order settlement RZP137
STL-000068-0,Meesho Fashnear Technologies,55458.59,2026-01-21,RZP6476100912,Merchant settlement batch RZP647
STL-000069-0,Flipkart Internet Ltd,92847.23,2026-06-29,RZP9471404490,Service fee RZP947
STL-000070-0,Flipkart Internet Prviate Limited,237646.21,2026-04-03,RZP0659331184,Vendor payout RZP065
STL-000071-0,Fashnear Technologies Ltd,97058.25,2026-01-13,RZP7215072283,Payment for invoice RZP721
STL-000071-1,Meesho Fashnear Technologies,145719.41,2026-01-16,,Vendor payout RZP721
STL-000072-0,Meesho Fashnear Technologies,845.74,2026-02-07,RZP9571813750,Vendor payout RZP957
STL-000073-0,PhonePe Internet Pvt Ltd,131582.5,2026-01-17,RZP4751590785,Subscription charge RZP475
STL-000074-0,Reilance Industries Limited,15195.35,2026-05-04,RZP8417483116,Payment for invoice RZP841
STL-000076-0,PhoenPe Private Limited,84832.06,2026-04-27,RZP3733296400,Vendor payout RZP373
STL-000077-0,Nykaa E-Retail Private Limited,202970.56,2026-05-23,RZP0956489490,Merchant settlement batch RZP095
STL-000078-0,NykaaE -Retail Private Limited,8309.81,2026-05-10,RZP2621837588,Vendor payout RZP262
STL-000078-1,Nykaa E-Retail Pvt Ltd,6891.91,2026-05-10,RZP2621837588,Payment for invoice RZP262
STL-000078-2,Nykaa E-Retail Private Limited,10625.86,2026-05-10,RZP2621837588,Payment for invoice RZP262
STL-000079-0,Meesho Fashnear Technologies,168792.95,2026-05-23,RZP0982173308,Payment for invoice RZP098
STL-000080-0,INFY,35597.38,2026-06-12,RZP905,Service fee RZP905
STL-000081-0,Meesho Fashnear Technologies,12583.22,2026-01-22,RZP2644271426,Service fee RZP264
STL-000082-0,MAHINDRA & MAHINDRA LIMITED,11497.76,2026-04-13,RZP902,Payment for invoice RZP902
STL-000083-0,Wipro Limited,125140.55,2026-06-21,RZP808,Service fee RZP808
STL-000084-0,Swiggy Bundl Technologies Private Limited,5337.37,2026-03-26,RZP1946341440,Service fee RZP194
STL-000085-0,Wipro Ltd,83367.2,2026-02-13,RZP065,Merchant settlement batch RZP065
STL-000088-0,Infosys Limited,153809.85,2026-05-10,RZP3597095165,Subscription charge RZP359
STL-000089-0,Zomato Limited,242131.19,2026-01-22,RZP5124451324,Merchant settlement batch RZP512
STL-000090-0,Tata Consult Services,197338.35,2026-06-15,RZP3353289610,Vendor payout RZP335
STL-000092-0,Ola Cabs Private Limited,23499.22,2026-06-21,RZP4331294210,Payment for invoice RZP433
STL-000093-0,UrbanClap Technologies,208804.69,2026-05-16,RZP0371318781,Merchant settlement batch RZP037
STL-000095-0,Flipkart Internet Pvt Ltd,114658.74,2026-03-15,,Subscription charge RZP754
STL-000096-0,Ola Cabs Pvt Ltd,208595.22,2026-03-14,RZP0145809889,Order settlement RZP014
STL-000097-0,Ola Cabs Private Limited,33656.82,2026-04-10,RZP9309867128,Payment for invoice RZP930
STL-000097-1,OLACABS,28714.69,2026-04-09,,Vendor payout RZP930
STL-000097-2,Ola Cab sPrivate Limited,30641.53,2026-04-09,,Vendor payout RZP930
STL-000098-0,BigBasket Innovative Retail Concepst,112233.08,2026-01-02,RZP902,Order settlement RZP902
STL-000099-0,Meesho Fashnear Technologies,114359.84,2026-01-30,,Merchant settlement batch RZP845
STL-000100-0,INFY,130942.62,2026-04-04,RZP0559534692,Merchant settlement batch RZP055
STL-000101-0,Infosys Limited,86298.9,2026-06-19,,Service fee RZP677
STL-000102-0,BHARTI AIRTEL LIMITED,202902.7,2026-01-17,RZP790,Service fee RZP790
STL-000103-0,Larsen & Toubro Limited,70882.69,2026-01-15,RZP8313878394,Service fee RZP831
STL-000104-0,Ola aCbs Private Limited,66790.17,2026-01-22,,Payment for invoice RZP706
STL-000105-0,Flipkart Pvt Ltd,87984.01,2026-01-11,RZP7964670645,Order settlement RZP796
STL-000106-0,Reliance Industries Limited,35321.29,2026-06-05,RZP6412639014,Order settlement RZP641
STL-000107-0,Infosys Limited,143544.36,2026-05-19,,Vendor payout RZP332
STL-000108-0,MEESHO,71501.38,2026-05-06,RZP2101798996,Merchant settlement batch RZP210
STL-000109-0,Urban Company Pvt Ltd,72697.02,2026-03-18,RZP8796751217,Service fee RZP879
STL-000110-0,Cred Pvt Ltd,92322.45,2026-05-22,RZP1803744451,Service fee RZP180
STL-000111-0,Flipkart Pvt Ltd,116538.42,2026-05-13,RZP387,Service fee RZP387
STL-000112-0,Bharti Airtel Ltd,80095.37,2026-02-27,RZP398,Vendor payout RZP398
STL-000113-0,Cred Dreamplug Technologies Private Limited,235410.51,2026-02-09,RZP1693908097,Vendor payout RZP169
STL-000114-0,Cred rDeamplug Technologies Private Limited,104234.21,2026-06-14,,Subscription charge RZP085
STL-000115-0,BigBasket Innovative Retail Concepts,116191.32,2026-03-29,RZP6377891353,Payment for invoice RZP637
STL-000116-0,Flipkart Pvt Ltd,62092.53,2026-01-25,RZP0984998971,Subscription charge RZP098
STL-000117-0,ANI Technologies Ola,116783.82,2026-03-20,RZP4034250258,Merchant settlement batch RZP403
STL-000118-0,URBAN COMPANY TECHNOLOGIES PRIVATE LIMITED,2193.48,2026-01-28,,Vendor payout RZP487
STL-000119-0,Urban Company Pvt Ltd,70038.21,2026-06-09,RZP6193739715,Subscription charge RZP619
STL-000120-0,TATA CONSULTANCY SERVICES,34053.99,2026-03-27,RZP8518193368,Merchant settlement batch RZP851
STL-000121-0,Ola Cabs Pvt Ltd,133155.11,2026-05-26,,Payment for invoice RZP283
STL-000122-0,Dreamplug Technologies,142955.94,2026-01-15,RZP5166816091,Merchant settlement batch RZP516
STL-000123-0,PhonePe Private Limited,37985.1,2026-06-26,RZP2564877559,Service fee RZP256
STL-000124-0,Zomato Limited,239174.4,2026-04-28,RZP933,Order settlement RZP933
STL-000125-0,Mahindra & Mahindra Limited,66577.67,2026-02-23,RZP6445972558,Service fee RZP644
STL-000125-1,Mahindra & Mahindra Limited,40097.59,2026-02-24,RZP6445972558,Subscription charge RZP644
STL-000125-2,M AND M LIMITED,86152.83,2026-02-23,,Merchant settlement batch RZP644
STL-000126-0,ICICIBANK,72720.07,2026-03-15,RZP9096728252,Payment for invoice RZP909
STL-000127-0,Cred Dreamplug Technologies Private Limited,58464.6,2026-01-13,RZP656,Order settlement RZP656
STL-000128-0,BIGBASKET INNOVATIVE RETAIL CONCEPTS,119440.67,2026-02-22,RZP7220762780,Payment for invoice RZP722
STL-000129-0,Bharti Airtel Limited,233490.56,2026-01-10,RZP9349998051,Subscription charge RZP934
STL-000130-0,Urban Company Technologies Private Limited,131150.99,2026-02-04,,Service fee RZP841
STL-000131-0,Larsen & Toubro Limited,43997.4,2026-06-13,,Vendor payout RZP885
STL-000132-0,Adani Enterprises Ltd,238515.6,2026-03-19,RZP5523264169,Subscription charge RZP552
STL-000133-0,HDFC Bank Limited,52108.66,2026-03-18,RZP3294493797,Payment for invoice RZP329
STL-000133-1,HDFC BANK LIMITED,107107.04,2026-03-17,RZP3294493797,Subscription charge RZP329
STL-000134-0,WIPRO,170133.43,2026-06-02,RZP8047050555,Service fee RZP804
STL-000135-0,Ola Cabs Pvt Ltd,108820.34,2026-06-24,RZP2505845404,Service fee RZP250
STL-000136-0,Swiggy Bundl Technologies Private Limtied,63726.14,2026-01-01,RZP7503099090,Order settlement RZP750
STL-000137-0,ICICI Bank Limited,191492.05,2026-06-15,RZP938,Service fee RZP938
STL-000138-0,URBANCOMPANY,98355.7,2026-02-02,RZP720,Payment for invoice RZP720
STL-000139-0,Larsen & Toubro Limited,229194.0,2026-01-29,RZP0669820546,Service fee RZP066
STL-000140-0,Tata Consultancy Services,99291.26,2026-03-01,,Payment for invoice RZP577
STL-000141-0,ICICI Bank Limited,246411.04,2026-05-14,RZP2309896449,Payment for invoice RZP230
STL-000143-0,Urban Company Technologies Pvt Ltd,132568.05,2026-04-11,RZP2269807126,Vendor payout RZP226
STL-000144-0,INFY,47162.6,2026-06-01,RZP7548390991,Subscription charge RZP754
STL-000145-0,Wipro Limited,173936.93,2026-02-22,RZP3232463384,Service fee RZP323
STL-000146-0,Zomato Limited,228595.64,2026-04-05,RZP3087055721,Order settlement RZP308
STL-000147-0,Wipro Limited,124900.48,2026-06-18,RZP9374774731,Vendor payout RZP937
STL-000148-0,Urban Company Technologies Private Limited,241891.8,2026-01-16,,Merchant settlement batch RZP580
STL-000149-0,NYKAA,15253.46,2026-06-17,RZP6644050529,Payment for invoice RZP664
STL-000150-0,PHONEPE PRIVATE LIMITED,201571.0,2026-02-15,,Subscription charge RZP101
STL-000151-0,WIPRO LIMITED,75098.66,2026-01-21,,Merchant settlement batch RZP687
STL-000152-0,ZOMATO,141529.28,2026-01-25,RZP8929652962,Merchant settlement batch RZP892
STL-000154-0,ZOMATO,96053.98,2026-02-07,RZP7607302066,Payment for invoice RZP760
STL-000155-0,Zomato Limited,7551.97,2026-03-11,RZP7425315372,Order settlement RZP742
STL-000156-0,Infosys Limited,67102.81,2026-04-10,RZP7673103321,Subscription charge RZP767
STL-000158-0,Wipro Limietd,143054.31,2026-02-14,RZP6122112273,Vendor payout RZP612
STL-000160-0,ICICIBANK,75213.76,2026-06-04,RZP923,Vendor payout RZP923
STL-000161-0,Bundl Technologies,36609.35,2026-05-25,RZP1917079278,Merchant settlement batch RZP191
STL-000161-1,Swiggy Bundl Technologies Pvt Ltd,23923.07,2026-05-25,,Order settlement RZP191
STL-000161-2,Swiggy Bundl Technologies Private Limited,30816.71,2026-05-25,,Subscription charge RZP191
STL-000162-0,PhonePe Internet Pvt Ltd,168293.47,2026-02-05,RZP6267709445,Service fee RZP626
STL-000163-0,Tata Consultancy Services,193305.36,2026-04-03,RZP7859126165,Merchant settlement batch RZP785
STL-000164-0,Swiggy Bundl Technologies Private Limited,241707.76,2026-03-26,,Order settlement RZP940
STL-000165-0,Ola Cabs Private Limited,37813.62,2026-01-07,RZP429,Payment for invoice RZP429
STL-000166-0,Flipkart Internet Private Limited,180540.19,2026-04-26,RZP3381866192,Payment for invoice RZP338
STL-000167-0,Zomato Online Ordering Ltd,140028.26,2026-04-29,RZP2416406153,Vendor payout RZP241
STL-000168-0,Adani Enterprises Limited,188118.58,2026-01-18,RZP5753116493,Service fee RZP575
STL-000169-0,Cred Pvt Ltd,28691.04,2026-04-01,RZP868,Merchant settlement batch RZP868
STL-000170-0,ICICI BANK LIMITED,127766.76,2026-04-18,RZP5544599112,Service fee RZP554
STL-000171-0,Flipkart Pvt Ltd,154909.58,2026-04-02,RZP9413564474,Merchant settlement batch RZP941
STL-000172-0,Reliance Industries Limited,196236.8,2026-02-27,RZP2251477511,Order settlement RZP225
STL-000173-0,Nykaa Pvt Ltd,135579.54,2026-01-12,RZP7424762802,Subscription charge RZP742
STL-000174-0,HDFCBANK,193941.57,2026-03-02,RZP2768646788,Vendor payout RZP276
STL-000176-0,ICICI Bank Limited,80157.08,2026-02-04,RZP2787645244,Vendor payout RZP278
STL-000176-1,ICICI Bank Limited,41115.91,2026-02-04,RZP2787645244,Service fee RZP278
STL-000176-2,ICICI Bk,53229.11,2026-02-03,RZP278,Payment for invoice RZP278
STL-000177-0,Infosys Pvt Ltd,100802.27,2026-03-14,,Service fee RZP684
STL-000178-0,Infosys Limited,198950.13,2026-04-13,RZP242,Vendor payout RZP242
STL-000179-0,Tata Consultancy Services,25028.75,2026-04-29,RZP0914949983,Subscription charge RZP091
STL-000180-0,Nykaa E-Retail Private Limited,62709.76,2026-04-06,RZP6606774002,Service fee RZP660
STL-000181-0,Wipro Technologies Ltd,129933.15,2026-04-24,RZP0689410371,Merchant settlement batch RZP068
STL-000182-0,M AND M LIMITED,34411.75,2026-02-04,RZP6605613279,Payment for invoice RZP660
STL-000183-0,Larsen & Toubro Limited,21808.85,2026-01-26,,Service fee RZP117
STL-000184-0,Reliance Inds Ltd,211995.84,2026-06-18,,Order settlement RZP826
STL-000185-0,Meesho Pvt Ltd,17757.37,2026-01-04,RZP9918536797,Vendor payout RZP991
STL-000186-0,RIL Payment,65649.96,2026-01-12,RZP9932774465,Order settlement RZP993
STL-000187-0,M AND M LIMITED,19880.54,2026-02-22,RZP9135766349,Service fee RZP913
STL-000188-0,Infossy Limited,229863.18,2026-01-30,RZP4637717719,Payment for invoice RZP463
STL-000189-0,Adani Enterprises Ltd,41863.19,2026-02-02,RZP787,Merchant settlement batch RZP787
STL-000190-0,Flipkart Internet Private Limited,127768.7,2026-01-15,RZP4532157250,Service fee RZP453
STL-000191-0,BigBasket Innovative Retail Concepts,91089.53,2026-02-08,RZP190,Payment for invoice RZP190
STL-000192-0,HDFC Bank Ltd,125584.93,2026-01-14,RZP189,Order settlement RZP189
STL-000193-0,Mahindra & Mahindra Limited,138753.8,2026-03-19,RZP723,Service fee RZP723
STL-000195-0,ICICIBANK,177946.54,2026-01-24,RZP0284847556,Payment for invoice RZP028
STL-000196-0,Cred Dreamplug Technologies Private Limited,15711.37,2026-06-20,,Merchant settlement batch RZP922
STL-000197-0,Cred Dreamplug Technologies Private Limited,27376.86,2026-01-28,RZP1445923211,Vendor payout RZP144
STL-000198-0,MEESHO FASHNEAR TECHNOLOGIES,10226.9,2026-03-25,RZP1793028198,Service fee RZP179
STL-000199-0,Wipro Ltd,23817.51,2026-01-28,RZP8108918366,Subscription charge RZP810
STL-000200-0,Infosys Limited,2651.72,2026-01-17,RZP1680881909,Subscription charge RZP168
STL-000200-1,Infosys Limited,1009.45,2026-01-17,RZP1680881909,Order settlement RZP168
STL-000200-2,Infosys Limited,1917.7,2026-01-17,RZP1680881909,Payment for invoice RZP168
STL-000202-0,BigBasket Innovative Retail Concepts,15384.11,2026-03-14,RZP3467295037,Merchant settlement batch RZP346
STL-000203-0,BigBasket Innovative Retali Concepts,86106.92,2026-05-26,RZP5313287095,Payment for invoice RZP531
STL-000204-0,Wipro Ltd,242128.92,2026-01-27,,Merchant settlement batch RZP225
STL-000205-0,Cred Dreamplug Technologies Private Limited,79582.94,2026-06-28,RZP357,Subscription charge RZP357
STL-000206-0,BIGBASKET,9616.18,2026-01-16,RZP2250921798,Service fee RZP225
STL-000207-0,ICICI Bank Limited,146702.18,2026-02-06,RZP7889393131,Merchant settlement batch RZP788
STL-000208-0,PhonePe rPivate Limited,197991.85,2026-05-05,RZP619,Subscription charge RZP619
STL-000209-0,AIRTEL,182248.41,2026-06-29,RZP9399069925,Service fee RZP939
STL-000210-0,Infosys Limited,19366.05,2026-03-23,RZP1807684220,Vendor payout RZP180
STL-000210-1,Infosys Ltd,40234.71,2026-03-24,RZP1807684220,Payment for invoice RZP180
STL-000211-0,RELIANCE INDUSTRIES LIMITED,12179.64,2026-04-23,RZP7984351486,Subscription charge RZP798
STL-000213-0,BIGBASKET INNOVATIVE RETAIL CONCEPTS,176170.49,2026-04-21,RZP9181121677,Payment for invoice RZP918
STL-000214-0,Mahindra & Mahindra Limited,59501.52,2026-01-13,RZP354,Payment for invoice RZP354
STL-000215-0,Mahindra & Mahindra Limited,244267.87,2026-05-03,RZP833,Merchant settlement batch RZP833
STL-000216-0,FLIPKART,43041.26,2026-02-27,RZP8516068472,Service fee RZP851
STL-000216-1,FLIPKART INTERNET PRIVATE LIMITED,73303.11,2026-02-27,RZP851,Subscription charge RZP851
STL-000217-0,Ola Cabs Pirvate Limited,103885.65,2026-05-18,,Merchant settlement batch RZP695
STL-000218-0,Meesho Fashnear Technologies,36989.8,2026-04-25,RZP1998149496,Order settlement RZP199
STL-000219-0,Infosys Ltd,21893.81,2026-05-28,RZP3324876544,Payment for invoice RZP332
STL-000220-0,Cred Dreamplug Technologies Private Limited,189614.46,2026-01-27,RZP9512534346,Payment for invoice RZP951
STL-000221-0,Swiggy Bundl Technologies Private Limited,35435.3,2026-06-05,RZP6438604233,Order settlement RZP643
STL-000224-0,L&T Ltd,206359.75,2026-03-07,RZP0031343962,Payment for invoice RZP003
STL-000225-0,Bharti Airtel Limited,114347.03,2026-05-02,RZP5318762315,Order settlement RZP531
STL-000225-1,Bharti Airtel Limited,124167.83,2026-05-03,RZP5318762315,Service fee RZP531
STL-000226-0,WIPRO,53718.33,2026-03-11,,Payment for invoice RZP658
STL-000226-1,Wipro Technologies Ltd,43125.22,2026-03-10,,Vendor payout RZP658
STL-000226-2,Wipro Ltd,70877.02,2026-03-11,,Vendor payout RZP658
STL-000228-0,Nykaa E-Retail Private Limited,140430.06,2026-06-03,,Merchant settlement batch RZP621
STL-000229-0,Ola Cabs Private Limited,191403.78,2026-01-16,RZP8866676924,Vendor payout RZP886
STL-000231-0,Airtel Ltd,72119.59,2026-05-01,RZP128,Merchant settlement batch RZP128
STL-000232-0,ZOMATO LIMITED,93014.86,2026-05-30,RZP2848590858,Merchant settlement batch RZP284
STL-000235-0,SWIGGY BUNDL TECHNOLOGIES PRIVATE LIMITED,1316.66,2026-05-18,RZP1303816626,Subscription charge RZP130
STL-000236-0,HDFC Bank Limited,95980.09,2026-06-02,,Service fee RZP300
STL-000237-0,Larsen & Toburo Limited,41346.14,2026-04-14,RZP0292051773,Subscription charge RZP029
STL-000238-0,Urban Company Technologies Private Limited,155840.22,2026-06-04,,Payment for invoice RZP966
STL-000239-0,RIL,75383.95,2026-06-20,,Merchant settlement batch RZP156
STL-000242-0,Mahindra & Mahindra Limited,88378.93,2026-06-23,RZP370,Subscription charge RZP370
STL-000243-0,Infosys Limited,93249.58,2026-03-29,RZP1492387671,Order settlement RZP149
STL-000245-0,HDFC Bank Limited,219818.5,2026-04-23,RZP0237675596,Subscription charge RZP023
STL-000246-0,Meesho Fashnea rTechnologies,10568.96,2026-06-20,RZP7466188609,Order settlement RZP746
STL-000246-1,Meesho Fashnear Technologies,13075.61,2026-06-19,RZP7466188609,Payment for invoice RZP746
STL-000247-0,BigBasket Innvoative Retail Concepts,217373.5,2026-01-20,RZP733,Service fee RZP733
STL-000248-0,BigBasket Innovative Retail Concepst,111850.22,2026-01-31,RZP9704058796,Merchant settlement batch RZP970
STL-000249-0,Flipkart Internet Ltd,233409.66,2026-04-04,RZP8883757340,Merchant settlement batch RZP888
STL-000250-0,Zomato Limited,88881.85,2026-06-12,RZP9257011771,Service fee RZP925
STL-000251-0,HDFC Bank Ltd,232564.53,2026-04-12,RZP281,Subscription charge RZP281
STL-000252-0,OLA CABS PRIVATE LIMITED,33788.81,2026-05-08,RZP0754597961,Payment for invoice RZP075
STL-000253-0,Meesho Fashnear Technologies,151599.25,2026-03-25,RZP5399729941,Vendor payout RZP539
STL-000254-0,OLA CABS PRIVATE LIMITED,74833.73,2026-06-29,RZP537,Subscription charge RZP537
STL-000255-0,Bharti Airtel Ltd,57522.94,2026-06-28,RZP6775597685,Vendor payout RZP677
STL-000255-1,Bharti Airtel Limietd,26120.39,2026-06-27,,Merchant settlement batch RZP677
STL-000255-2,Bharti Airtel Limited,41717.76,2026-06-27,,Payment for invoice RZP677
STL-000256-0,Ola Cabs Private Limited,26751.65,2026-04-08,RZP161,Payment for invoice RZP161
STL-000258-0,SWIGGY,104229.07,2026-06-26,RZP3502678897,Order settlement RZP350
STL-000259-0,CRED DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,136721.79,2026-06-04,RZP171,Merchant settlement batch RZP171
STL-000260-0,ICICI Bank Ltd,39600.9,2026-03-07,RZP049,Vendor payout RZP049
STL-000261-0,Infosys Limited,196040.62,2026-03-23,RZP5957154386,Service fee RZP595
STL-000262-0,Larsen & Toubro Ltd,237584.52,2026-06-10,RZP5989064966,Merchant settlement batch RZP598
STL-000263-0,Zomato Limited,95436.23,2026-01-30,RZP352,Subscription charge RZP352
STL-000265-0,PhonePe Pvt Ltd,161678.85,2026-01-19,,Merchant settlement batch RZP714
STL-000266-0,Flipkart Internet Ltd,157590.48,2026-04-22,RZP3310707083,Merchant settlement batch RZP331
STL-000267-0,Mahindra & Mahindra Limited,151700.48,2026-03-14,RZP7436451375,Subscription charge RZP743
STL-000268-0,Nykaa E-Retail Private Limited,239354.3,2026-01-03,,Vendor payout RZP551
STL-000269-0,OLA CABS PRIVATE LIMITED,35742.41,2026-02-18,RZP2811788994,Order settlement RZP281
STL-000270-0,Infosys Limited,62783.84,2026-02-20,RZP7431616934,Payment for invoice RZP743
STL-000271-0,Cred Dreamplug Technologies Private Limited,38225.93,2026-05-26,RZP3340227481,Subscription charge RZP334
STL-000272-0,BigBasekt Innovative Retail Concepts,115781.45,2026-04-02,RZP7416028817,Payment for invoice RZP741
STL-000273-0,Infosys Ltd,223042.48,2026-05-10,RZP6857202856,Merchant settlement batch RZP685
STL-000274-0,Wipro Limited,222875.67,2026-05-31,RZP7245356886,Subscription charge RZP724
STL-000275-0,ICICI Bk,110709.47,2026-02-15,RZP5581790722,Merchant settlement batch RZP558
STL-000276-0,Larsen Toubro Ltd,129543.62,2026-04-03,RZP398,Order settlement RZP398
STL-000278-0,Reliance Inds Ltd,125533.97,2026-02-08,RZP4252116864,Order settlement RZP425
STL-000279-0,BigBasket Pvt Ltd,166004.24,2026-05-03,RZP2180051605,Order settlement RZP218
STL-000280-0,Bharti Airtel Limited,129232.68,2026-04-15,,Merchant settlement batch RZP550
