ledger_id,_gt_txn_id,_split
LED-000245,GT-000245,train
LED-000246,GT-000246,train
LED-000247,GT-000247,val
LED-000248,GT-000248,train
LED-000249,GT-000249,val
LED-000250,GT-000250,val
LED-000251,GT-000251,train
LED-000252,GT-000252,train
LED-000253,GT-000253,train
LED-000254,GT-000254,test
LED-000255,GT-000255,train
LED-000256,GT-000256,test
LED-000258,GT-000258,val
LED-000259,GT-000259,train
LED-000260,GT-000260,val
LED-000261,GT-000261,train
LED-000262,GT-000262,train
LED-000263,GT-000263,train
LED-000265,GT-000265,train
LED-000266,GT-000266,train
LED-000267,GT-000267,val
LED-000268,GT-000268,train
LED-000269,GT-000269,val
LED-000270,GT-000270,val
LED-000271,GT-000271,test
LED-000272,GT-000272,val
LED-000273,GT-000273,train
LED-000274,GT-000274,train
LED-000275,GT-000275,train
LED-000276,GT-000276,val
LED-000278,GT-000278,train
LED-000279,GT-000279,train
LED-000280,GT-000280,train
LED-000281,GT-000281,train
LED-000282,GT-000282,val
LED-000283,GT-000283,train
LED-000284,GT-000284,train
LED-000285,GT-000285,test
LED-000286,GT-000286,test
LED-000287,GT-000287,val
LED-000288,GT-000288,val
LED-000289,GT-000289,train
LED-000290,GT-000290,train
LED-000292,GT-000292,train
LED-000294,GT-000294,train
LED-000296,GT-000296,train
LED-000297,GT-000297,val
LED-000298,GT-000298,train
LED-000299,GT-000299,val
LED-000300,GT-000300,train
LED-000301,GT-000301,train
LED-000302,GT-000302,train
LED-000303,GT-000303,test
LED-000306,GT-000306,train
LED-000307,GT-000307,train
LED-000308,GT-000308,train
LED-000309,GT-000309,val
LED-000310,GT-000310,train
LED-000312,GT-000312,train
LED-000313,GT-000313,train
LED-000314,GT-000314,train
LED-000315,GT-000315,val
LED-000316,GT-000316,train
LED-000318,GT-000318,val
LED-000319,GT-000319,val
LED-000320,GT-000320,train
LED-000321,GT-000321,val
LED-000322,GT-000322,train
LED-000323,GT-000323,train
LED-000324,GT-000324,train
LED-000325,GT-000325,train
LED-000326,GT-000326,val
LED-000327,GT-000327,val
LED-000328,GT-000328,train
LED-000329,GT-000329,train
LED-000330,GT-000330,train
LED-000331,GT-000331,test
LED-000332,GT-000332,test
LED-000333,GT-000333,train
LED-000335,GT-000335,train
LED-000336,GT-000336,train
LED-000338,GT-000338,test
LED-000339,GT-000339,train
LED-000340,GT-000340,test
LED-000341,GT-000341,train
LED-000342,GT-000342,train
LED-000344,GT-000344,test
LED-000346,GT-000346,train
LED-000347,GT-000347,train
LED-000348,GT-000348,train
LED-000349,GT-000349,train
LED-000350,GT-000350,train
LED-000351,GT-000351,train
LED-000352,GT-000352,train
LED-000353,GT-000353,train
LED-000354,GT-000354,train
LED-000355,GT-000355,test
LED-000356,GT-000356,val
LED-000357,GT-000357,train
LED-000358,GT-000358,train
LED-000359,GT-000359,test
LED-000360,GT-000360,train
LED-000361,GT-000361,train
LED-000362,GT-000362,train
LED-000363,GT-000363,train
LED-000364,GT-000364,val
LED-000365,GT-000365,train
LED-000366,GT-000366,train
LED-000367,GT-000367,train
LED-000368,GT-000368,val
LED-000369,GT-000369,train
LED-000371,GT-000371,val
LED-000372,GT-000372,test
LED-000373,GT-000373,train
LED-000374,GT-000374,val
LED-000375,GT-000375,val
LED-000376,GT-000376,train
LED-000377,GT-000377,train
LED-000378,GT-000378,val
LED-000379,GT-000379,train
LED-000380,GT-000380,train
LED-000381,GT-000381,train
LED-000382,GT-000382,test
LED-000383,GT-000383,train
LED-000385,GT-000385,test
LED-000386,GT-000386,train
LED-000387,GT-000387,train
LED-000388,GT-000388,train
LED-000389,GT-000389,train
LED-000390,GT-000390,train
LED-000391,GT-000391,train
LED-000392,GT-000392,test
LED-000393,GT-000393,train
LED-000394,GT-000394,train
LED-000395,GT-000395,val
LED-000396,GT-000396,train
LED-000397,GT-000397,train
LED-000398,GT-000398,train
LED-000399,GT-000399,train
LED-000400,GT-000400,test
LED-000402,GT-000402,val
LED-000403,GT-000403,train
LED-000404,GT-000404,test
LED-000405,GT-000405,test
LED-000407,GT-000407,test
LED-000408,GT-000408,val
LED-000409,GT-000409,train
LED-000410,GT-000410,train
LED-000411,GT-000411,train
LED-000412,GT-000412,train
LED-000413,GT-000413,train
LED-000414,GT-000414,train
LED-000415,GT-000415,test
LED-000416,GT-000416,train
LED-000417,GT-000417,val
LED-000419,GT-000419,train
LED-000420,GT-000420,train
LED-000421,GT-000421,train
LED-000422,GT-000422,train
LED-000423,GT-000423,train
LED-000424,GT-000424,train
LED-000425,GT-000425,train
LED-000426,GT-000426,train
LED-000427,GT-000427,train
LED-000428,GT-000428,test
LED-000429,GT-000429,val
LED-000430,GT-000430,train
LED-000431,GT-000431,train
LED-000432,GT-000432,test
LED-000433,GT-000433,train
LED-000434,GT-000434,test
LED-000435,GT-000435,val
LED-000436,GT-000436,train
LED-000437,GT-000437,train
LED-000438,GT-000438,train
LED-000439,GT-000439,test
LED-000440,GT-000440,train
LED-000442,GT-000442,val
LED-000443,GT-000443,train
LED-000444,GT-000444,train
LED-000446,GT-000446,test
LED-000447,GT-000447,train
LED-000448,GT-000448,train
LED-000450,GT-000450,val
LED-000451,GT-000451,train
LED-000452,GT-000452,val
LED-000454,GT-000454,test
LED-000455,GT-000455,train
LED-000456,GT-000456,val
LED-000457,GT-000457,train
LED-000458,GT-000458,train
LED-000459,GT-000459,train
LED-000460,GT-000460,val
LED-000461,GT-000461,train
LED-000462,GT-000462,train
LED-000463,GT-000463,train
LED-000464,GT-000464,train
LED-000465,GT-000465,train
LED-000466,GT-000466,train
LED-000467,GT-000467,train
LED-000468,GT-000468,train
LED-000469,GT-000469,train
LED-000470,GT-000470,test
LED-000471,GT-000471,train
LED-000472,GT-000472,train
LED-000473,GT-000473,train
LED-000474,GT-000474,test
LED-000475,GT-000475,train
LED-000476,GT-000476,train
LED-000477,GT-000477,train
LED-000478,GT-000478,test
LED-000479,GT-000479,test
LED-000480,GT-000480,test
LED-000481,GT-000481,test
LED-000482,GT-000482,train
LED-000483,GT-000483,val
LED-000484,GT-000484,train
LED-000485,GT-000485,test
LED-000486,GT-000486,train
LED-000487,GT-000487,train
LED-000490,GT-000490,val
LED-000491,GT-000491,test
LED-000492,GT-000492,train
LED-000493,GT-000493,train
LED-000494,GT-000494,train
LED-000495,GT-000495,train
LED-000496,GT-000496,val
LED-000497,GT-000497,val
LED-000498,GT-000498,train
LED-000499,GT-000499,train
LED-000500,GT-000500,train
LED-000501,GT-000501,test
LED-000503,GT-000503,train
LED-000504,GT-000504,train
LED-000505,GT-000505,val
LED-000506,GT-000506,train
LED-000507,GT-000507,train
LED-000508,GT-000508,train
LED-000509,GT-000509,test
LED-000510,GT-000510,train
LED-000511,GT-000511,val
LED-000512,GT-000512,train
LED-000513,GT-000513,train
LED-000514,GT-000514,train
LED-000516,GT-000516,train
LED-000517,GT-000517,train
LED-000518,GT-000518,val
LED-000519,GT-000519,test
LED-000520,GT-000520,test
LED-000521,GT-000521,train
LED-000522,GT-000522,train
LED-000524,GT-000524,train
LED-000525,GT-000525,val
LED-000526,GT-000526,val
LED-000527,GT-000527,val
LED-000528,GT-000528,train
LED-000529,GT-000529,test
LED-000531,GT-000531,train
LED-000532,GT-000532,train
LED-000534,GT-000534,train
LED-000535,GT-000535,train
LED-000536,GT-000536,test
LED-000537,GT-000537,train
LED-000538,GT-000538,train
LED-000539,GT-000539,train
LED-000540,GT-000540,train
LED-000541,GT-000541,train
LED-000542,GT-000542,train
LED-000543,GT-000543,train
LED-000544,GT-000544,train
LED-000545,GT-000545,train
LED-000546,GT-000546,train
LED-000548,GT-000548,train
LED-000549,GT-000549,train
LED-000550,GT-000550,val
LED-000551,GT-000551,train
LED-000552,GT-000552,val
LED-000553,GT-000553,test
LED-000554,GT-000554,train
LED-000555,GT-000555,train
LED-000556,GT-000556,train
LED-000557,GT-000557,train
LED-000559,GT-000559,val
LED-000560,GT-000560,val
LED-000562,GT-000562,train
LED-000563,GT-000563,train
LED-000564,GT-000564,train
LED-000565,GT-000565,train
LED-000568,GT-000568,test
LED-000569,GT-000569,val
LED-000571,GT-000571,train
LED-000572,GT-000572,train
LED-000573,GT-000573,val
LED-000574,GT-000574,train
LED-000575,GT-000575,train
LED-000576,GT-000576,test
LED-000578,GT-000578,train
LED-000579,GT-000579,val
LED-000580,GT-000580,train
LED-000581,GT-000581,train
LED-000582,GT-000582,val
LED-000583,GT-000583,train
LED-000584,GT-000584,train
LED-000585,GT-000585,train
LED-000587,GT-000587,train
LED-000588,GT-000588,train
LED-000589,GT-000589,train
LED-000590,GT-000590,test
LED-000591,GT-000591,train
LED-000592,GT-000592,train
LED-000593,GT-000593,val
LED-000594,GT-000594,train
LED-000596,GT-000596,train
LED-000597,GT-000597,train
LED-000598,GT-000598,train
LED-000264,GT-000264,test
LED-000561,GT-000561,test
LED-000020,GT-000020,test
LED-000153,GT-000153,test
LED-000384,GT-000384,test
LED-000291,GT-000291,train
LED-000337,GT-000337,train
LED-000567,GT-000567,train
LED-000244,GT-000244,train
LED-000277,GT-000277,train
LED-000586,GT-000586,train
LED-000010,GT-000010,train
LED-000222,GT-000222,train
LED-000523,GT-000523,train
LED-000530,GT-000530,train
LED-000061,GT-000061,train
LED-000241,GT-000241,train
LED-000406,GT-000406,train
LED-000441,GT-000441,train
LED-000577,GT-000577,train
LED-000317,GT-000317,train
LED-000019,GT-000019,train
LED-000489,GT-000489,train
LED-000558,GT-000558,train
LED-000595,GT-000595,train
LED-000240,GT-000240,train
LED-000445,GT-000445,train
LED-000599,GT-000599,train
LED-000086,GT-000086,train
LED-000570,GT-000570,train
LED-000257,GT-000257,train
LED-000056,GT-000056,train
LED-000418,GT-000418,train
LED-000223,GT-000223,train
LED-000311,GT-000311,train
LED-000449,GT-000449,train
LED-000201,GT-000201,train
LED-000305,GT-000305,train
LED-000453,GT-000453,train
LED-000547,GT-000547,train
LED-000533,GT-000533,train
LED-000075,GT-000075,train
LED-000230,GT-000230,val
LED-000345,GT-000345,val
LED-000304,GT-000304,val
LED-000295,GT-000295,val
LED-000488,GT-000488,val
LED-000157,GT-000157,val
LED-000293,GT-000293,val
LED-000087,GT-000087,val
