ledger_public_id,settlement_public_id,group_size,relationship_type_candidate,is_potential_one_to_many,is_potential_many_to_one,abs_amount_diff,relative_amount_diff,amount_ratio,date_diff_days,vendor_levenshtein_similarity,vendor_jaro_winkler_similarity,vendor_token_sort_similarity,vendor_token_set_similarity,vendor_exact_normalized_match,vendor_embedding_cosine_similarity,reference_exact_match,reference_substring_overlap,reference_similarity,description_embedding_cosine_similarity,reference_missing_ledger,reference_missing_settlement,reference_both_missing,candidate_count_for_ledger,candidate_count_for_settlement,competing_candidate_count,split,label
LED-000023,STL-000023-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.408248,0,0,0,20,43,61,train,1
LED-000024,STL-000024-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.579359,0,0,0,32,11,41,train,1
LED-000024,STL-000096-0,1,one_to_one,0,0,3316.31,0.015346,0.984654,5,0.24,0.495098,0.16,0.16,0,0.0,0,0,0.230769,0.191273,0,0,0,32,20,50,train,0
LED-000025,STL-000025-0,1,one_to_one,0,0,0.29,3e-06,1.000003,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.911014,0,0,0,9,15,22,test,1
LED-000026,STL-000026-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.375,0.769231,0.375,0.375,0,0.0,1,1,1.0,0.347183,0,0,0,25,122,145,val,1
LED-000027,STL-000027-0,1,one_to_one,0,0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.151947,0,0,0,22,26,46,train,1
LED-000028,STL-000028-0,1,one_to_one,0,0,3125.62,0.024444,0.975556,0,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0.550973,0,1,0,24,10,32,train,1
LED-000028,STL-000555-0,1,one_to_one,0,0,2572.55,0.020119,1.020119,3,0.315789,0.589744,0.315789,0.315789,0,-0.066667,0,0,0.230769,0.742308,0,0,0,24,9,31,train,0
LED-000029,STL-000265-0,1,one_to_one,0,0,5782.92,0.037827,1.037827,0,0.186047,0.477513,0.232558,0.232558,0,0.076697,0,0,0.230769,0.178174,0,0,0,23,46,67,train,0
LED-000029,STL-000029-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.192879,0,0,0,23,54,75,train,1
LED-000029,STL-000595-0,1,one_to_one,0,0,5847.17,0.038248,1.038248,1,0.186047,0.477513,0.139535,0.139535,0,0.0,0,0,0.230769,0.133631,0,0,0,23,45,66,train,0
LED-000030,STL-000389-2,1,one_to_one,0,0,1116.17,0.025313,0.974687,0,0.166667,0.335088,0.166667,0.166667,0,0.0,0,0,0.230769,0.123208,0,0,0,63,65,126,train,0
LED-000030,STL-000030-0,1,one_to_one,0,0,985.95,0.02236,0.97764,2,0.555556,0.876923,0.555556,1.0,0,0.522233,1,1,1.0,0.338667,0,0,0,63,46,107,train,1
LED-000031,STL-000031-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.305505,0,0,0,31,7,36,train,1
LED-000031,STL-000421-0,1,one_to_one,0,0,3054.85,0.028611,0.971389,2,0.24,0.495098,0.16,0.16,0,0.0,0,0,0.307692,0.04714,0,0,0,31,26,55,train,0
LED-000033,STL-000033-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.835504,0,0,0,37,17,52,train,1
LED-000033,STL-000274-0,1,one_to_one,0,0,5498.66,0.024306,0.975694,2,0.2,0.493333,0.2,0.2,0,0.0,0,0,0.230769,0.222277,0,0,0,37,39,74,train,0
LED-000034,STL-000394-0,1,one_to_one,0,0,1790.1,0.008951,0.991049,0,0.592593,0.677839,0.555556,0.631579,0,0.50128,0,0,0.230769,0.162088,0,0,0,29,15,42,train,0
LED-000034,STL-000034-0,1,one_to_one,0,0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.871813,0,0,0,29,13,40,train,1
LED-000034,STL-000574-0,1,one_to_one,0,0,2143.54,0.010718,1.010718,6,0.242424,0.491758,0.242424,0.242424,0,0.087706,0,0,0.230769,0.222925,0,0,0,29,18,45,train,0
LED-000034,STL-000224-0,1,one_to_one,0,0,5466.23,0.027332,1.027332,7,0.307692,0.617949,0.358974,0.358974,0,0.065372,0,0,0.230769,0.20261,0,0,0,29,14,41,train,0
LED-000036,STL-000036-0,1,one_to_one,0,0,0.0,0.0,1.0,2,0.608696,0.8875,0.608696,1.0,0,0.597614,1,1,1.0,0.879883,0,0,0,37,28,63,train,1
LED-000036,STL-000116-0,1,one_to_one,0,0,1603.69,0.025383,0.974617,4,0.606061,0.637745,0.484848,0.666667,0,0.483046,0,0,0.230769,0.127,0,0,0,37,31,66,train,0
LED-000036,STL-000531-0,1,one_to_one,0,0,564.44,0.008934,1.008934,4,0.095238,0.420833,0.095238,0.095238,0,0.154303,0,0,0.230769,0.254,0,0,0,37,33,68,train,0
LED-000037,STL-000037-0,1,one_to_one,0,0,0.42,1.3e-05,0.999987,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.338667,0,0,0,37,57,92,train,1
LED-000039,STL-000039-0,1,one_to_one,0,0,0.0,0.0,1.0,2,0.962963,0.992593,0.962963,0.962963,0,0.826087,1,1,1.0,0.3175,0,0,0,6,10,14,train,1
LED-000040,STL-000040-0,1,one_to_one,0,0,22.49,0.000509,0.999491,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.184812,0,0,0,38,18,54,train,1
LED-000041,STL-000041-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.149071,0,0,0,22,15,35,train,1
LED-000042,STL-000042-0,1,one_to_one,0,0,20.46,8.6e-05,0.999914,1,0.285714,0.572222,0.357143,0.545455,0,0.096225,1,1,1.0,0.916544,0,0,0,25,44,67,train,1
LED-000042,STL-000089-0,1,one_to_one,0,0,8551.96,0.036081,1.036081,1,0.285714,0.527778,0.285714,0.285714,0,0.0,0,0,0.230769,0.269408,0,0,0,25,38,61,train,0
LED-000042,STL-000581-0,1,one_to_one,0,0,7328.6,0.030919,0.969081,3,0.285714,0.535256,0.285714,0.285714,0,0.0,0,0,0.230769,0.187251,0,0,0,25,13,36,train,0
LED-000042,STL-000335-0,1,one_to_one,0,0,7133.05,0.030094,1.030094,4,1.0,1.0,1.0,1.0,1,1.0,0,0,0.230769,0.169334,0,0,0,25,22,45,train,0
LED-000042,STL-000204-0,1,one_to_one,0,0,6473.92,0.027313,1.027313,5,0.153846,0.0,0.153846,0.153846,0,0.0,0,0,0.307692,0.215614,0,0,0,25,12,35,train,0
LED-000042,STL-000139-0,1,one_to_one,0,0,2661.46,0.011229,0.988771,7,0.275862,0.56746,0.275862,0.275862,0,0.0,0,0,0.230769,0.195965,0,0,0,25,53,76,train,0
LED-000043,STL-000110-0,1,one_to_one,0,0,1321.45,0.014309,0.985691,0,1.0,1.0,1.0,1.0,1,1.0,0,0,0.230769,0.742308,0,0,0,31,12,41,train,0
LED-000044,STL-000044-0,1,one_to_one,0,0,0.48,1e-05,1.00001,1,0.631579,0.574786,0.631579,1.0,0,0.603023,1,1,1.0,0.27735,0,0,0,20,27,45,train,1
LED-000044,STL-000296-0,1,one_to_one,0,0,2165.97,0.045118,0.954882,7,0.367347,0.626327,0.326531,0.326531,0,0.0,0,0,0.0,0.09245,0,1,0,20,21,39,train,0
LED-000045,STL-000045-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.214286,0.736,0.214286,0.214286,0,0.0,1,1,1.0,0.164122,0,0,0,37,45,80,train,1
LED-000046,STL-000046-0,1,one_to_one,0,0,778.51,0.007764,0.992236,2,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0.860663,0,1,0,36,55,89,val,1
LED-000047,STL-000047-0,1,one_to_one,0,0,0.12,1e-06,0.999999,0,0.933333,0.970833,0.533333,0.533333,0,0.547723,1,1,1.0,0.19245,0,0,0,44,55,97,train,1
LED-000048,STL-000048-0,1,one_to_one,0,0,0.0,0.0,1.0,4,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.14304,0,0,0,35,9,42,val,1
LED-000049,STL-000049-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.866025,0,0,0,19,6,23,train,1
LED-000049,STL-000031-0,1,one_to_one,0,0,400.21,0.003762,1.003762,1,0.380952,0.603205,0.380952,0.380952,0,0.0,0,0,0.230769,0.742308,0,0,0,19,7,24,train,0
LED-000049,STL-000421-0,1,one_to_one,0,0,2654.64,0.024956,0.975044,3,0.333333,0.549271,0.333333,0.333333,0,0.0,0,0,0.230769,0.178174,0,0,0,19,26,43,train,0
LED-000050,STL-000141-0,1,one_to_one,0,0,10748.38,0.045606,1.045606,5,0.176471,0.484444,0.176471,0.176471,0,0.0,0,0,0.230769,0.186339,0,0,0,28,27,53,val,0
LED-000051,STL-000051-0,1,one_to_one,0,0,6.82,4.7e-05,0.999953,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.599003,0,0,0,31,8,37,test,1
LED-000052,STL-000255-1,1,one_to_one,0,0,1828.59,0.022151,1.022151,0,1.0,1.0,1.0,1.0,1,1.0,0,0,0.230769,0.098058,0,0,0,48,57,103,train,0
LED-000052,STL-000052-0,1,one_to_one,0,0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.320256,0,0,0,48,54,100,train,1
LED-000052,STL-000205-0,1,one_to_one,0,0,2948.06,0.035712,0.964288,2,0.3,0.456383,0.3,0.3,0,-0.188608,0,0,0.230769,0.160128,0,0,0,48,30,76,train,0
LED-000053,STL-000053-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.280158,0,0,0,115,68,181,train,1
LED-000053,STL-000540-0,1,one_to_one,0,0,4065.85,0.035179,1.035179,4,0.242424,0.491758,0.242424,0.242424,0,0.087706,0,0,0.0,0.186772,0,1,0,115,57,170,train,0
LED-000054,STL-000054-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.352941,0.842857,0.352941,1.0,0,0.456435,0,0,0.0,0.848528,0,1,0,28,13,39,train,1
LED-000054,STL-000468-0,1,one_to_one,0,0,9410.22,0.047084,1.047084,1,0.216216,0.511376,0.27027,0.27027,0,0.0,0,0,0.230769,0.122474,0,0,0,28,13,39,train,0
LED-000054,STL-000482-0,1,one_to_one,0,0,852.77,0.004267,0.995733,1,0.344828,0.478694,0.275862,0.275862,0,0.0,0,0,0.230769,0.068599,0,0,0,28,12,38,train,0
LED-000055,STL-000055-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.296334,0,0,0,15,27,40,train,1
LED-000057,STL-000057-0,1,one_to_one,0,0,5521.71,0.02252,0.97748,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.919272,0,0,0,9,18,25,train,1
LED-000058,STL-000058-0,1,one_to_one,0,0,13.52,0.000427,0.999573,3,0.96,0.992,0.96,0.96,0,0.801002,1,1,1.0,0.174574,0,0,0,62,47,107,train,1
LED-000060,STL-000060-0,1,one_to_one,0,0,15.52,0.000143,0.999857,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.350325,0,0,0,35,53,86,train,1
LED-000060,STL-000248-0,1,one_to_one,0,0,1981.19,0.018247,1.018247,5,0.186047,0.477513,0.139535,0.139535,0,0.0,0,0,0.230769,0.205153,0,0,0,35,48,81,train,0
LED-000062,STL-000062-0,1,one_to_one,0,0,0.15,1e-06,1.000001,0,0.64,0.894118,0.64,1.0,0,0.632456,1,1,1.0,0.367423,0,0,0,25,28,51,train,1
LED-000063,STL-000063-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.387097,0.848,0.387097,1.0,0,0.4,1,1,1.0,0.879883,0,0,0,35,36,69,test,1
LED-000064,STL-000064-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0.550973,0,1,0,9,21,28,val,1
LED-000064,STL-000174-0,1,one_to_one,0,0,27.31,0.000141,0.999859,2,0.384615,0.483224,0.384615,0.352941,0,0.0,0,0,0.307692,0.453743,0,0,0,9,24,31,val,0
LED-000065,STL-000065-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.809524,0.936,0.809524,0.809524,0,0.732467,1,1,1.0,0.381,0,0,0,21,32,51,train,1
LED-000066,STL-000066-0,1,one_to_one,0,0,5919.79,0.024477,0.975523,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.205153,0,0,0,39,30,67,val,1
LED-000067,STL-000067-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.902214,0,0,0,8,25,31,val,1
LED-000068,STL-000068-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.857143,0.77381,0.857143,1.0,0,0.876501,0,0,0.0,0.324176,0,1,0,113,179,290,train,1
LED-000069,STL-000069-0,1,one_to_one,0,0,0.34,4e-06,0.999996,2,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.848528,0,0,0,26,35,59,train,1
LED-000070,STL-000070-0,1,one_to_one,0,0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.196116,0,0,0,23,19,40,val,1
LED-000070,STL-000249-0,1,one_to_one,0,0,2733.91,0.011504,0.988496,3,1.0,1.0,1.0,1.0,1,1.0,0,0,0.230769,0.075485,0,0,0,23,17,38,val,0
LED-000070,STL-000518-0,1,one_to_one,0,0,8455.12,0.035579,0.964421,5,0.421053,0.572108,0.368421,0.368421,0,0.062622,0,0,0.230769,0.454257,0,0,0,23,17,38,val,0
LED-000071,STL-000148-0,1,one_to_one,0,0,4804.95,0.019792,1.019792,4,0.592593,0.677839,0.555556,0.631579,0,0.50128,0,0,0.0,0.037424,0,1,0,158,94,250,train,0
LED-000072,STL-000072-0,1,one_to_one,0,0,4.88,0.005685,0.994315,0,0.352941,0.842857,0.352941,1.0,0,0.456435,1,1,1.0,0.879883,0,0,0,37,70,105,train,1
LED-000073,STL-000073-0,1,one_to_one,0,0,0.06,0.0,1.0,2,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0.13901,0,1,0,88,79,165,train,1
LED-000074,STL-000074-0,1,one_to_one,0,0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0.195965,0,1,0,15,38,51,val,1
LED-000076,STL-000076-0,1,one_to_one,0,0,9.97,0.000118,0.999882,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.2179,0,0,0,17,48,63,train,1
LED-000076,STL-000225-0,1,one_to_one,0,0,2988.0,0.035223,1.035223,5,0.2,0.479853,0.1,0.1,0,0.0,0,0,0.0,0.0,0,1,0,17,29,44,train,0
LED-000077,STL-000077-0,1,one_to_one,0,0,2008.66,0.009896,0.990104,1,0.928571,0.980952,0.928571,0.928571,0,0.714286,1,1,1.0,0.452911,0,0,0,36,23,57,train,1
LED-000079,STL-000079-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.352941,0.842857,0.352941,1.0,0,0.456435,0,0,0.0,0.15097,0,1,0,35,15,48,val,1
LED-000079,STL-000230-0,1,one_to_one,0,0,8268.1,0.048984,1.048984,5,0.125,0.357143,0.125,0.125,0,0.129099,0,0,0.230769,0.16343,0,0,0,35,34,67,val,0
LED-000080,STL-000080-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.196589,0,0,0,19,10,27,train,1
LED-000081,STL-000081-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.879883,0,0,0,63,109,170,train,1
LED-000082,STL-000082-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.213201,0,0,0,24,30,52,train,1
LED-000083,STL-000083-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.555556,0.876923,0.555556,1.0,0,0.522233,0,1,0.461538,0.328244,0,0,0,25,52,75,train,1
LED-000083,STL-000383-0,1,one_to_one,0,0,4919.54,0.039312,1.039312,2,0.230769,0.455128,0.384615,0.384615,0,-0.201008,0,0,0.230769,0.116775,0,0,0,25,39,62,train,0
LED-000083,STL-000352-0,1,one_to_one,0,0,3393.35,0.027116,1.027116,7,0.428571,0.509402,0.285714,0.285714,0,0.0,0,0,0.230769,0.119416,0,0,0,25,64,87,train,0
LED-000084,STL-000084-0,1,one_to_one,0,0,0.06,1.1e-05,1.000011,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.848528,0,0,0,15,33,46,train,1
LED-000085,STL-000085-0,1,one_to_one,0,0,0.23,3e-06,1.000003,1,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.255031,0,0,0,28,17,43,train,1
LED-000085,STL-000475-0,1,one_to_one,0,0,2065.19,0.024772,1.024772,6,0.272727,0.505882,0.272727,0.272727,0,0.0,0,0,0.230769,0.073621,0,0,0,28,18,44,train,0
LED-000088,STL-000088-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.208514,0,0,0,23,21,42,train,1
LED-000089,STL-000042-0,1,one_to_one,0,0,8596.06,0.035,0.965,1,0.230769,0.538889,0.307692,0.307692,0,0.0,0,0,0.230769,0.191273,0,0,0,22,44,64,train,0
LED-000089,STL-000089-0,1,one_to_one,0,0,23.64,9.6e-05,0.999904,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.078087,0,0,0,22,38,58,train,1
LED-000089,STL-000335-0,1,one_to_one,0,0,1442.55,0.005874,0.994126,4,0.285714,0.527778,0.285714,0.285714,0,0.0,0,0,0.230769,0.073621,0,0,0,22,22,42,train,0
LED-000089,STL-000204-0,1,one_to_one,0,0,2101.68,0.008557,0.991443,5,0.181818,0.455556,0.181818,0.181818,0,0.0,0,0,0.230769,0.830291,0,0,0,22,12,32,train,0
LED-000089,STL-000139-0,1,one_to_one,0,0,11237.06,0.045754,0.954246,7,0.222222,0.535714,0.222222,0.222222,0,0.0,0,0,0.230769,0.477119,0,0,0,22,53,73,train,0
LED-000090,STL-000356-0,1,one_to_one,0,0,2005.66,0.010164,1.010164,0,0.392157,0.655954,0.431373,0.431373,0,0.0,0,0,0.230769,0.191079,0,0,0,32,9,39,val,0
LED-000090,STL-000090-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.286618,0,0,0,32,13,43,val,1
LED-000092,STL-000092-0,1,one_to_one,0,0,124.25,0.005287,0.994713,1,0.933333,0.970833,0.533333,0.533333,0,0.547723,1,1,1.0,0.879883,0,0,0,47,39,84,train,1
LED-000093,STL-000093-0,1,one_to_one,0,0,2948.31,0.01412,0.98588,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.277219,0,0,0,19,29,46,train,1
LED-000093,STL-000592-0,1,one_to_one,0,0,7565.09,0.03623,1.03623,7,0.641509,0.703324,0.603774,0.641509,0,0.368037,0,0,0.307692,0.254,0,0,0,19,16,33,train,0
LED-000095,STL-000095-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.338667,0,0,0,23,28,49,train,1
LED-000096,STL-000096-0,1,one_to_one,0,0,21.57,0.000101,0.999899,4,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.367423,0,0,0,56,20,74,train,1
LED-000098,STL-000098-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.879883,0,0,0,24,1,23,train,1
LED-000099,STL-000099-0,1,one_to_one,0,0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.255377,0,0,0,38,51,87,train,1
LED-000099,STL-000248-0,1,one_to_one,0,0,3800.88,0.033236,0.966764,2,0.3125,0.595099,0.34375,0.34375,0,0.0,0,0,0.230769,0.049147,0,0,0,38,48,84,train,0
LED-000100,STL-000100-0,1,one_to_one,0,0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.195965,0,0,0,19,19,36,train,1
LED-000101,STL-000101-0,1,one_to_one,0,0,1110.35,0.012866,0.987134,0,0.857143,0.971429,0.857143,0.857143,0,0.4,0,0,0.0,0.834058,0,1,0,56,47,101,test,1
LED-000102,STL-000102-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.764706,0.92381,0.764706,1.0,0,0.789542,0,1,0.461538,0.182006,0,0,0,122,85,205,train,1
LED-000102,STL-000014-0,1,one_to_one,0,0,6128.79,0.030206,1.030206,7,0.307692,0.523077,0.307692,0.307692,0,0.0,0,0,0.230769,0.085126,0,0,0,122,17,137,train,0
LED-000103,STL-000103-0,1,one_to_one,0,0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0.102899,0,1,0,79,105,182,train,1
LED-000104,STL-000104-0,1,one_to_one,0,0,0.0,0.0,1.0,1,0.285714,0.572222,0.357143,0.545455,0,0.096225,1,1,1.0,0.19803,0,0,0,35,20,53,train,1
LED-000104,STL-000531-0,1,one_to_one,0,0,3045.69,0.045601,0.954399,3,0.307692,0.55,0.307692,0.307692,0,0.0,0,0,0.230769,0.272166,0,0,0,35,33,66,train,0
LED-000104,STL-000591-0,1,one_to_one,0,0,1730.48,0.025909,1.025909,6,0.153846,0.0,0.153846,0.153846,0,0.0,0,0,0.230769,0.746391,0,0,0,35,55,88,train,0
LED-000105,STL-000392-0,1,one_to_one,0,0,3455.02,0.039269,0.960731,0,0.380952,0.604777,0.333333,0.333333,0,0.056344,0,0,0.230769,0.20261,0,0,0,25,39,62,test,0
LED-000105,STL-000105-0,1,one_to_one,0,0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0.35015,0,1,0,25,38,61,test,1
LED-000106,STL-000106-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.328244,0,0,0,10,27,35,train,1
