ledger_public_id,settlement_public_id,abs_amount_diff,relative_amount_diff,amount_ratio,date_diff_days,vendor_levenshtein_similarity,vendor_jaro_winkler_similarity,vendor_token_sort_similarity,vendor_token_set_similarity,vendor_exact_normalized_match,vendor_embedding_cosine_similarity,reference_exact_match,reference_substring_overlap,reference_similarity,reference_missing_ledger,reference_missing_settlement,reference_both_missing,candidate_count_for_ledger,candidate_count_for_settlement,competing_candidate_count,is_potential_one_to_many,is_potential_many_to_one,description_embedding_cosine_similarity
LED-000058,STL-000058-0,207.4,0.006544,0.993456,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,1,1,1,0,0.848528
LED-000058,STL-000519-2,48.05,0.001516,1.001516,7,0.32,0.54,0.32,0.32,0,0.043644,0,0,0.0,0,1,0,2,1,1,1,0,0.255841
LED-000060,STL-000060-0,965.76,0.008895,0.991105,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,3,2,3,1,1,0.222925
LED-000060,STL-000432-0,1422.74,0.013103,1.013103,4,0.1,0.0,0.1,0.1,0,0.0,0,0,0.230769,0,0,0,3,3,4,1,1,0.162088
LED-000060,STL-000248-0,3272.45,0.030139,1.030139,5,0.186047,0.477513,0.139535,0.139535,0,0.0,0,0,0.230769,0,0,0,3,5,6,1,1,0.095539
LED-000061,STL-000145-0,3439.11,0.020171,1.020171,6,0.125,0.324691,0.125,0.125,0,0.0,0,0,0.230769,0,0,0,1,2,1,0,1,0.211667
LED-000062,STL-000062-0,0.19,1e-06,0.999999,0,0.64,0.894118,0.64,1.0,0,0.632456,1,1,1.0,0,0,0,1,2,1,0,1,0.879883
LED-000063,STL-000063-0,2328.02,0.016275,0.983725,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,4,3,5,1,1,0.213201
LED-000063,STL-BATCH-000244-000277-000586,2627.68,0.01837,0.98163,4,0.263158,0.400513,0.263158,0.263158,0,-0.060302,0,0,0.0,0,1,0,4,2,4,1,1,0.07785
LED-000063,STL-000228-0,2614.82,0.01828,0.98172,6,0.25641,0.505476,0.25641,0.25641,0,-0.053452,0,0,0.0,0,1,0,4,3,5,1,1,0.179124
LED-000063,STL-000259-0,6323.09,0.044204,0.955796,7,0.615385,0.684444,0.615385,0.648649,0,0.500435,0,0,0.230769,0,0,0,4,3,5,1,1,0.179124
LED-000064,STL-000034-0,6028.18,0.031078,1.031078,0,0.325581,0.514077,0.372093,0.352941,0,0.0,0,0,0.230769,0,0,0,5,6,9,1,1,0.109985
LED-000064,STL-000064-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,5,6,9,1,1,0.879883
LED-000064,STL-000394-0,5855.05,0.030186,1.030186,1,0.173913,0.48366,0.173913,0.285714,0,0.0,0,0,0.230769,0,0,0,5,6,9,1,1,0.039193
LED-000064,STL-000380-0,5623.18,0.02899,0.97101,2,0.166667,0.467787,0.166667,0.266667,0,0.0,0,0,0.0,0,1,0,5,4,7,1,1,0.296334
LED-000064,STL-000174-0,27.31,0.000141,0.999859,2,0.32,0.411765,0.32,0.375,0,0.0,0,0,0.307692,0,0,0,5,8,11,1,1,0.127
LED-000065,STL-000065-0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,1,0,0,0,0.137199
LED-000066,STL-000066-0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,1,1,1,0,0.823755
LED-000066,STL-000132-0,3335.31,0.013791,0.986209,2,0.339623,0.580401,0.301887,0.301887,0,-0.088561,0,0,0.230769,0,0,0,2,2,2,1,1,0.038576
LED-000067,STL-000067-0,6.56,0.001808,0.998192,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,1,0,0,0,0.174574
LED-000068,STL-000068-0,0.0,0.0,1.0,4,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,1,1,1,0,0.518563
LED-000068,STL-000423-0,1165.18,0.02101,0.97899,4,0.355556,0.614792,0.4,0.4,0,0.04714,0,0,0.230769,0,0,0,2,1,1,1,0,0.044544
LED-000069,STL-000511-0,3932.52,0.042355,1.042355,1,0.4,0.570324,0.4,0.4,0,0.0,0,0,0.307692,0,0,0,2,4,4,1,1,0.817269
LED-000069,STL-000069-0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,5,5,1,1,0.328244
LED-000070,STL-000070-0,0.0,0.0,1.0,0,0.809524,0.936,0.809524,1.0,0,0.826236,1,1,1.0,0,0,0,4,3,5,1,1,0.848528
LED-000070,STL-000249-0,4236.55,0.017827,0.982173,1,1.0,1.0,1.0,1.0,1,1.0,0,0,0.230769,0,0,0,4,3,5,1,1,0.0
LED-000070,STL-000146-0,9050.57,0.038084,0.961916,2,0.173913,0.48366,0.173913,0.173913,0,0.0,0,0,0.230769,0,0,0,4,4,6,1,1,0.087287
LED-000070,STL-000518-0,8455.12,0.035579,0.964421,4,0.380952,0.604777,0.333333,0.333333,0,0.056344,0,0,0.230769,0,0,0,4,5,7,1,1,0.094281
LED-000071,STL-000148-0,885.86,0.003649,0.996351,3,0.680851,0.703476,0.638298,0.727273,0,0.556349,0,0,0.0,0,1,0,1,3,2,0,1,0.845826
LED-000072,STL-000072-0,12.72,0.014817,0.985183,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,1,0,0,0,0.222718
LED-000073,STL-000073-0,9.97,7.6e-05,0.999924,0,0.608696,0.8875,0.608696,1.0,0,0.597614,1,1,1.0,0,0,0,3,4,5,1,1,0.285774
LED-000073,STL-000319-0,720.82,0.005478,0.994522,1,0.25,0.417989,0.125,0.125,0,0.169031,0,0,0.230769,0,0,0,3,5,6,1,1,-0.04714
LED-000073,STL-000400-0,2793.78,0.021231,0.978769,4,0.186047,0.477513,0.232558,0.232558,0,0.076697,0,0,0.230769,0,0,0,3,6,7,1,1,0.043644
LED-000074,STL-000074-0,151.88,0.009896,0.990104,1,0.947368,0.985965,0.947368,0.947368,0,0.764706,1,1,1.0,0,0,0,1,1,0,0,0,0.367423
LED-000075,STL-000236-0,661.13,0.006936,1.006936,0,0.133333,0.425926,0.133333,0.133333,0,0.0,0,0,0.0,0,1,0,2,4,4,1,1,0.044544
LED-000075,STL-000075-0,2234.87,0.023446,0.976554,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,2,3,3,1,1,0.866025
LED-000076,STL-000076-0,0.0,0.0,1.0,0,0.857143,0.966667,0.857143,0.857143,0,0.2,1,1,1.0,0,0,0,1,1,0,0,0,0.393919
LED-000077,STL-000077-0,0.0,0.0,1.0,0,0.526316,0.871429,0.526316,1.0,0,0.46291,1,1,1.0,0,0,0,2,2,2,1,1,0.137199
LED-000077,STL-000479-0,9190.82,0.045282,1.045282,6,0.166667,0.0,0.166667,0.166667,0,0.0,0,0,0.0,0,1,0,2,4,4,1,1,0.141421
LED-000078,STL-000287-0,829.99,0.03188,0.96812,1,0.444444,0.603938,0.444444,0.444444,0,0.0,0,0,0.230769,0,0,0,1,3,2,0,1,0.039193
LED-000079,STL-000079-0,0.02,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,1,1,1,0,0.864242
LED-000079,STL-000230-0,8268.1,0.048984,1.048984,4,0.618182,0.671285,0.581818,0.615385,0,0.494902,0,0,0.230769,0,0,0,2,3,3,1,1,0.317526
LED-000080,STL-000080-0,0.0,0.0,1.0,0,0.421053,0.828889,0.421053,0.421053,0,0.182574,0,1,0.461538,0,0,0,1,3,2,0,1,0.35015
LED-000081,STL-000081-0,0.06,5e-06,1.000005,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,1,0,0,0,0.848528
LED-000082,STL-000082-0,0.23,2e-05,1.00002,1,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,1,1,0,0,0,0.233075
LED-000083,STL-000083-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,3,5,6,1,1,0.181444
LED-000083,STL-000383-0,4919.54,0.039312,1.039312,2,0.222222,0.517949,0.222222,0.222222,0,0.0,0,0,0.230769,0,0,0,3,7,8,1,1,0.167984
LED-000083,STL-000352-0,4967.32,0.039694,1.039694,7,0.333333,0.561905,0.333333,0.333333,0,0.0,0,0,0.230769,0,0,0,3,4,5,1,1,0.045361
LED-000084,STL-000084-0,23.64,0.00441,0.99559,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,1,0,0,0,0.147242
LED-000085,STL-000085-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,3,2,3,1,1,0.286618
